#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  0.998860403859080E+01  -.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  -.368970147881592E+01  0.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  0.678375277300328E+01  -.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  -.317412014381152E+01  0.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.111147655133873E+02  -.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  -.202847347931060E+01  0.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  0.554517768466360E+01  -.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  -.216591239111005E+01  0.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.241271842644705E+02  -.000000000000000E+00
     chi_1_1=  0.100000000000000E-01  0.998862610322224E+01  0.309276497833261E-03
     chi_2_1=  0.100000000000000E-01  -.368971580947414E+01  -.200885762087464E-03
     chi_3_1=  0.100000000000000E-01  0.678379279044980E+01  0.561016141479975E-03
     chi_1_2=  0.100000000000000E-01  -.317412825894334E+01  -.113728180307685E-03
     chi_2_2=  0.100000000000000E-01  0.111147789828706E+02  0.188720494502423E-03
     chi_3_2=  0.100000000000000E-01  -.202848450267509E+01  -.154521138016983E-03
     chi_1_3=  0.100000000000000E-01  0.554519839504528E+01  0.290177513915513E-03
     chi_2_3=  0.100000000000000E-01  -.216592271239152E+01  -.144618526710882E-03
     chi_3_3=  0.100000000000000E-01  0.241272495094142E+02  0.914127682949094E-03
     chi_1_1=  0.200000000000000E-01  0.998869229872832E+01  0.618575638484476E-03
     chi_2_1=  0.200000000000000E-01  -.368975880256121E+01  -.401787153213780E-03
     chi_3_1=  0.200000000000000E-01  0.678391284613608E+01  0.112207930411567E-02
     chi_1_2=  0.200000000000000E-01  -.317415260484318E+01  -.227463448832263E-03
     chi_2_2=  0.200000000000000E-01  0.111148193919610E+02  0.377449993163900E-03
     chi_3_2=  0.200000000000000E-01  -.202851757360950E+01  -.309054095920574E-03
     chi_1_3=  0.200000000000000E-01  0.554526052719930E+01  0.580369182313500E-03
     chi_2_3=  0.200000000000000E-01  -.216595367675994E+01  -.289244404677547E-03
     chi_3_3=  0.200000000000000E-01  0.241274452472811E+02  0.182829795140336E-02
     chi_1_1=  0.300000000000000E-01  0.998880262994435E+01  0.927920069602223E-03
     chi_2_1=  0.300000000000000E-01  -.368983046141466E+01  -.602719805768336E-03
     chi_3_1=  0.300000000000000E-01  0.678411295010291E+01  0.168323651925331E-02
     chi_1_2=  0.300000000000000E-01  -.317419318302431E+01  -.341212895424218E-03
     chi_2_2=  0.300000000000000E-01  0.111148867425816E+02  0.566197502088652E-03
     chi_3_2=  0.300000000000000E-01  -.202857269463677E+01  -.463610696462508E-03
     chi_1_3=  0.300000000000000E-01  0.554536408415276E+01  0.870589161425540E-03
     chi_2_3=  0.300000000000000E-01  -.216600528578743E+01  -.433884986072764E-03
     chi_3_3=  0.300000000000000E-01  0.241277714871789E+02  0.274255339607611E-02
     chi_1_1=  0.400000000000000E-01  0.998895710493041E+01  0.123733244849830E-02
     chi_2_1=  0.400000000000000E-01  -.368993079159781E+01  -.803699358842951E-03
     chi_3_1=  0.400000000000000E-01  0.678439311908738E+01  0.224453483862424E-02
     chi_1_2=  0.400000000000000E-01  -.317424999600921E+01  -.454983613202087E-03
     chi_2_2=  0.400000000000000E-01  0.111149810379372E+02  0.754972031272220E-03
     chi_3_2=  0.400000000000000E-01  -.202864986996247E+01  -.618202768126305E-03
     chi_1_3=  0.400000000000000E-01  0.554550907095108E+01  0.116085161100876E-02
     chi_2_3=  0.400000000000000E-01  -.216607754209434E+01  -.578547624913405E-03
     chi_3_3=  0.400000000000000E-01  0.241282282442874E+02  0.365693661822061E-02
     chi_1_1=  0.500000000000000E-01  0.998915573497305E+01  0.154683544698426E-02
     chi_2_1=  0.500000000000000E-01  -.369005980090098E+01  -.100474146158650E-02
     chi_3_1=  0.500000000000000E-01  0.678475337652645E+01  0.280602134454793E-02
     chi_1_2=  0.500000000000000E-01  -.317432304733020E+01  -.568782700188646E-03
     chi_2_2=  0.500000000000000E-01  0.111151022825159E+02  0.943782596549681E-03
     chi_3_2=  0.500000000000000E-01  -.202874910547583E+01  -.772842147997026E-03
     chi_1_3=  0.500000000000000E-01  0.554569549465888E+01  0.145117069609191E-02
     chi_2_3=  0.500000000000000E-01  -.216617044934968E+01  -.723239677975838E-03
     chi_3_3=  0.500000000000000E-01  0.241288155398617E+02  0.457149023482974E-02
     chi_1_1=  0.600000000000000E-01  0.998939853458761E+01  0.185645175621378E-02
     chi_2_1=  0.600000000000000E-01  -.369021749934315E+01  -.120586177656362E-02
     chi_3_1=  0.600000000000000E-01  0.678519375256206E+01  0.336774316014731E-02
     chi_1_2=  0.600000000000000E-01  -.317441234153018E+01  -.682617260949715E-03
     chi_2_2=  0.600000000000000E-01  0.111152504820896E+02  0.113263822154689E-02
     chi_3_2=  0.600000000000000E-01  -.202887040875116E+01  -.927540684635668E-03
     chi_1_3=  0.600000000000000E-01  0.554592336436063E+01  0.174156058871233E-02
     chi_2_3=  0.600000000000000E-01  -.216628401227151E+01  -.867968505708648E-03
     chi_3_3=  0.600000000000000E-01  0.241295334012339E+02  0.548625688378535E-02
     chi_1_1=  0.700000000000000E-01  0.998968552152139E+01  0.216620409153295E-02
     chi_2_1=  0.700000000000000E-01  -.369040389917410E+01  -.140707598311886E-02
