#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  0.946910632817980E+01  -.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  0.363837375850418E+01  -.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  0.783060842475104E+01  -.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  0.364165114071083E+01  -.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.113643773408913E+02  -.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  0.501397910035418E+01  -.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  0.780963038506927E+01  -.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  0.498507755153847E+01  -.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.363257498472282E+02  -.000000000000000E+00
     chi_1_1=  0.100000000000000E-01  0.946913746490877E+01  0.436991927215912E-03
     chi_2_1=  0.100000000000000E-01  0.363839526387763E+01  0.301846711530661E-03
     chi_3_1=  0.100000000000000E-01  0.783070108422369E+01  0.130096092288096E-02
     chi_1_2=  0.100000000000000E-01  0.364167283645734E+01  0.304527069528054E-03
     chi_2_2=  0.100000000000000E-01  0.113644002607462E+02  0.321483162719763E-03
     chi_3_2=  0.100000000000000E-01  0.501404640438077E+01  0.944979157355909E-03
     chi_1_3=  0.100000000000000E-01  0.780972202661658E+01  0.128660855319350E-02
     chi_2_3=  0.100000000000000E-01  0.498514336059571E+01  0.923918354215491E-03
     chi_3_3=  0.100000000000000E-01  0.363260769511643E+02  0.459215098767866E-02
     chi_1_1=  0.200000000000000E-01  0.946923087974737E+01  0.874049418211382E-03
     chi_2_1=  0.200000000000000E-01  0.363845978332778E+01  0.603740355541959E-03
     chi_3_1=  0.200000000000000E-01  0.783097907873030E+01  0.260214862961761E-02
     chi_1_2=  0.200000000000000E-01  0.364173792709015E+01  0.609102005591069E-03
     chi_2_2=  0.200000000000000E-01  0.113644690229238E+02  0.643003161147814E-03
     chi_3_2=  0.200000000000000E-01  0.501424832820417E+01  0.189012398921391E-02
     chi_1_3=  0.200000000000000E-01  0.780999696690493E+01  0.257343780261676E-02
     chi_2_3=  0.200000000000000E-01  0.498534079894841E+01  0.184799440656616E-02
     chi_3_3=  0.200000000000000E-01  0.363270583177448E+02  0.918507452802902E-02
     chi_1_1=  0.300000000000000E-01  0.946938658665057E+01  0.131123807093494E-02
     chi_2_1=  0.300000000000000E-01  0.363856732684388E+01  0.905727889099109E-03
     chi_3_1=  0.300000000000000E-01  0.783144245653554E+01  0.390379002698148E-02
     chi_1_2=  0.300000000000000E-01  0.364184642279072E+01  0.913772696610681E-03
     chi_2_2=  0.300000000000000E-01  0.113645836352634E+02  0.964596846607728E-03
     chi_3_2=  0.300000000000000E-01  0.501458490706064E+01  0.283560024684862E-02
     chi_1_3=  0.300000000000000E-01  0.781045525288141E+01  0.386070854435854E-02
     chi_2_3=  0.300000000000000E-01  0.498566990014457E+01  0.277238592591403E-02
     chi_3_3=  0.300000000000000E-01  0.363286941113123E+02  0.137795435222405E-01
     chi_1_1=  0.400000000000000E-01  0.946960460887886E+01  0.174862354817968E-02
     chi_2_1=  0.400000000000000E-01  0.363871791107619E+01  0.120785631589141E-02
     chi_3_1=  0.400000000000000E-01  0.783209129808621E+01  0.520611225387418E-02
     chi_1_2=  0.400000000000000E-01  0.364199834053330E+01  0.121858707480138E-02
     chi_2_2=  0.400000000000000E-01  0.113647441108344E+02  0.128630110166720E-02
     chi_3_2=  0.400000000000000E-01  0.501505619969543E+01  0.378157383514819E-02
     chi_1_3=  0.400000000000000E-01  0.781109696281418E+01  0.514864177431192E-02
     chi_2_3=  0.400000000000000E-01  0.498613072011415E+01  0.369725082263558E-02
     chi_3_3=  0.400000000000000E-01  0.363309846058527E+02  0.183763315688386E-01
     chi_1_1=  0.500000000000000E-01  0.946988497900601E+01  0.218627160534532E-02
     chi_2_1=  0.500000000000000E-01  0.363891155934155E+01  0.151017270614878E-02
     chi_3_1=  0.500000000000000E-01  0.783292571603831E+01  0.650934277910363E-02
     chi_1_2=  0.500000000000000E-01  0.364219370409259E+01  0.152359313811546E-02
     chi_2_2=  0.500000000000000E-01  0.113649504679415E+02  0.160815285579380E-02
     chi_3_2=  0.500000000000000E-01  0.501566228838957E+01  0.472821088959179E-02
     chi_1_3=  0.500000000000000E-01  0.781192220632811E+01  0.643745878829201E-02
     chi_2_3=  0.500000000000000E-01  0.498672333719395E+01  0.462274721953088E-02
     chi_3_3=  0.500000000000000E-01  0.363339301851180E+02  0.229762133131045E-01
     chi_1_1=  0.600000000000000E-01  0.947022773893388E+01  0.262424811801236E-02
     chi_2_1=  0.600000000000000E-01  0.363914830163405E+01  0.181272421642072E-02
     chi_3_1=  0.600000000000000E-01  0.783394585530921E+01  0.781370949839732E-02
     chi_1_2=  0.600000000000000E-01  0.364243254405460E+01  0.182883897224661E-02
     chi_2_2=  0.600000000000000E-01  0.113652027301325E+02  0.193018910105139E-02
     chi_3_2=  0.600000000000000E-01  0.501640327899798E+01  0.567567785343288E-02
     chi_1_3=  0.600000000000000E-01  0.781293112445382E+01  0.772738128241327E-02
     chi_2_3=  0.600000000000000E-01  0.498744785216253E+01  0.554903352291545E-02
     chi_3_3=  0.600000000000000E-01  0.363375313427981E+02  0.275799647974006E-01
     chi_1_1=  0.700000000000000E-01  0.947063293991232E+01  0.306261911082997E-02
     chi_2_1=  0.700000000000000E-01  0.363942817463927E+01  0.211555811031141E-02
