#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  0.881350453736741E+01  -.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  0.328863179268984E+01  -.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  0.501556637825848E+01  -.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  0.260621883493571E+01  -.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.104408206273696E+02  -.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  0.141610245499662E+01  -.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  0.411320772270749E+01  -.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  0.221600993531157E+01  -.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.235837435837467E+02  -.000000000000000E+00
     chi_1_1=  0.100000000000000E-01  0.881351846476473E+01  0.195164037234425E-03
     chi_2_1=  0.100000000000000E-01  0.328864212413152E+01  0.144789315780362E-03
     chi_3_1=  0.100000000000000E-01  0.501559234245587E+01  0.363912277782585E-03
     chi_1_2=  0.100000000000000E-01  0.260622224660014E+01  0.477783257328358E-04
     chi_2_2=  0.100000000000000E-01  0.104408287532987E+02  0.113792638272519E-03
     chi_3_2=  0.100000000000000E-01  0.141610601809756E+01  0.499029905871091E-04
     chi_1_3=  0.100000000000000E-01  0.411322217037184E+01  0.202415117631268E-03
     chi_2_3=  0.100000000000000E-01  0.221601950453809E+01  0.134070749139325E-03
     chi_3_3=  0.100000000000000E-01  0.235838024656194E+02  0.824918456811530E-03
     chi_1_1=  0.200000000000000E-01  0.881356024774021E+01  0.390339073809833E-03
     chi_2_1=  0.200000000000000E-01  0.328867311910390E+01  0.289587719628774E-03
     chi_3_1=  0.200000000000000E-01  0.501567023684266E+01  0.727849752520841E-03
     chi_1_2=  0.200000000000000E-01  0.260623248165894E+01  0.955575693582917E-04
     chi_2_2=  0.200000000000000E-01  0.104408531312156E+02  0.227587088023572E-03
     chi_3_2=  0.200000000000000E-01  0.141611670748567E+01  0.998071765236332E-04
     chi_1_3=  0.200000000000000E-01  0.411326551400751E+01  0.404839248433125E-03
     chi_2_3=  0.200000000000000E-01  0.221604821265924E+01  0.268147691696878E-03
     chi_3_3=  0.200000000000000E-01  0.235839791137255E+02  0.164987180867310E-02
     chi_1_1=  0.300000000000000E-01  0.881362988864428E+01  0.585536110957231E-03
     chi_2_1=  0.300000000000000E-01  0.328872477954894E+01  0.434404301193549E-03
     chi_3_1=  0.300000000000000E-01  0.501580006680281E+01  0.109183762561974E-02
     chi_1_2=  0.300000000000000E-01  0.260624954030863E+01  0.143338648815767E-03
     chi_2_2=  0.300000000000000E-01  0.104408937615078E+02  0.341385160818575E-03
     chi_3_2=  0.300000000000000E-01  0.141613452341687E+01  0.149713753223911E-03
     chi_1_3=  0.300000000000000E-01  0.411333775554239E+01  0.607281406595410E-03
     chi_2_3=  0.300000000000000E-01  0.221609606099973E+01  0.402237021795566E-03
     chi_3_3=  0.300000000000000E-01  0.235842735355291E+02  0.247489495455638E-02
     chi_1_1=  0.400000000000000E-01  0.881372739139485E+01  0.780766153688299E-03
     chi_2_1=  0.400000000000000E-01  0.328879710870367E+01  0.579248153284042E-03
     chi_3_1=  0.400000000000000E-01  0.501598184131072E+01  0.145590110738436E-02
     chi_1_2=  0.400000000000000E-01  0.260627342287677E+01  0.191122482139551E-03
     chi_2_2=  0.400000000000000E-01  0.104409506448221E+02  0.455188668398157E-03
     chi_3_2=  0.400000000000000E-01  0.141615946631771E+01  0.199623916235973E-03
     chi_1_3=  0.400000000000000E-01  0.411343889818987E+01  0.809750608333975E-03
     chi_2_3=  0.400000000000000E-01  0.221616305176766E+01  0.536344934962009E-03
     chi_3_3=  0.400000000000000E-01  0.235846857434712E+02  0.330002280119065E-02
     chi_1_1=  0.500000000000000E-01  0.881385276147801E+01  0.976040212687277E-03
     chi_2_1=  0.500000000000000E-01  0.328889011110073E+01  0.724128373452476E-03
     chi_3_1=  0.500000000000000E-01  0.501621557293274E+01  0.182006542147357E-02
     chi_1_2=  0.500000000000000E-01  0.260630412982198E+01  0.238909987507867E-03
     chi_2_2=  0.500000000000000E-01  0.104410237820634E+02  0.568999422767411E-03
     chi_3_2=  0.500000000000000E-01  0.141619153678538E+01  0.249538861311738E-03
     chi_1_3=  0.500000000000000E-01  0.411356894644924E+01  0.101225587292172E-02
     chi_2_3=  0.500000000000000E-01  0.221624918805464E+01  0.670477628836490E-03
     chi_3_3=  0.500000000000000E-01  0.235852157549712E+02  0.412529026706616E-02
     chi_1_1=  0.600000000000000E-01  0.881400600594877E+01  0.117136930620474E-02
     chi_2_1=  0.600000000000000E-01  0.328900379256913E+01  0.869054065577341E-03
     chi_3_1=  0.600000000000000E-01  0.501650127782943E+01  0.218435580935822E-02
     chi_1_2=  0.600000000000000E-01  0.260634166173392E+01  0.286702083286624E-03
     chi_2_2=  0.600000000000000E-01  0.104411131743956E+02  0.682819236279577E-03
     chi_3_2=  0.600000000000000E-01  0.141623073558775E+01  0.299459784464681E-03
     chi_1_3=  0.600000000000000E-01  0.411372790610611E+01  0.121480622365967E-02
     chi_2_3=  0.600000000000000E-01  0.221635447383625E+01  0.804641303853404E-03
     chi_3_3=  0.600000000000000E-01  0.235858635924290E+02  0.495073228605673E-02
     chi_1_1=  0.700000000000000E-01  0.881418713343251E+01  0.136676446195384E-02
     chi_2_1=  0.700000000000000E-01  0.328913816023526E+01  0.101403434144885E-02
